status,leg_mode,symbol,long_exchange,short_exchange,entry_exchange,hedge_exchange,route_label,amount,usd_size,alloc_pct,spread_pct_cycle,net_spread_pct,rank_at_open,sniper_tag,opened_at,fee_total_pct,slippage_estimated_pct,cost_total_pct,close_reason
closed,perp_perp,ACT/USDT:USDT,bybit,okx,,,LONG bybit / SHORT okx,8563.0,125.0,25.0,0.526321,0.256321,1,sniper_preferred,,0.21000000000000002,0.06,0.27,signal_disappeared
closed,perp_perp,ACT/USDT:USDT,okx,bybit,,,LONG okx / SHORT bybit,8752.0,125.0,25.0,0.277966,0.02376440881148706,1,sniper_preferred,,0.21000000000000002,0.044201591188512905,0.25420159118851293,signal_disappeared
