symbol,leg_mode,route_label,fee_open_pct,fee_close_pct,fee_total_pct,logged_at
ACT/USDT:USDT,perp_perp,LONG bybit / SHORT okx,0.105,0.105,0.21,2026-03-24T00:02:16.375451+00:00
ACT/USDT:USDT,perp_perp,LONG okx / SHORT bybit,0.10500000000000001,0.10500000000000001,0.21000000000000002,2026-03-24T08:14:11.946759+00:00
