exchange,symbol,funding,next_funding,short_ma,long_ma,positive_ratio,volatility,timestamp
bybit,AGI/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-0.00033885095238095234,-0.00010641844444444442,0.8666666666666667,0.000643880883371727,1774342022284.0
bybit,AGLD/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-3.3285714285714344e-07,-0.0005836465555555555,0.43333333333333335,0.001384352097519688,1774342022275.0
bybit,AIO/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,0.00018958285714285717,0.00021782744444444446,1.0,0.0003362143575892614,1774342022276.0
bybit,AIOZ/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,2.1088571428571435e-05,-0.00011513722222222224,0.6083333333333333,0.0009667276629889927,1774342022276.0
bybit,AEVO/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,3.13052380952381e-05,2.0591222222222225e-05,0.8416666666666667,7.191535012004662e-05,1774342022276.0
bybit,AIXBT/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-2.1749047619047616e-05,-4.807777777777778e-05,0.55,0.00016096969905846325,1774342022374.0
bybit,AKE/USDT:USDT,0.0022208,2026-03-24T12:00:00.000Z,0.00030063095238095245,0.000213564,1.0,0.00029032609996533786,1774342022386.0
bybit,AKT/USDT:USDT,2.865e-05,2026-03-24T12:00:00.000Z,-0.0003488142857142857,-0.00025960544444444446,0.39166666666666666,0.0005802196077769942,1774342022578.0
bybit,ALLO/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,6.0117619047619034e-05,-1.911055555555555e-05,0.7416666666666667,0.0001513689267825651,1774342022691.0
bybit,ALICE/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-0.00028583523809523804,-0.0006935692222222223,0.775,0.0025776672440673736,1774342022690.0
bybit,ALCH/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,4.0596777777777786e-05,0.9,4.5028974355330986e-05,1774342022681.0
bybit,ALPINE/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,5.000000000000001e-05,1.0,1.3552527156068805e-20,1774342022680.0
bybit,ALGO/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,1.679380952380952e-05,-9.098555555555552e-06,0.5666666666666667,0.00012692408951917218,1774342022681.0
bybit,ALT/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,2.580571428571429e-05,1.9610333333333334e-05,0.8083333333333333,6.63237779991711e-05,1774342022779.0
bybit,ANIME/USDT:USDT,-2.207e-05,2026-03-24T12:00:00.000Z,-0.0007898109523809525,-0.0010342573333333334,0.55,0.0025379142790166133,1774342022782.0
bybit,ANKR/USDT:USDT,9.069e-05,2026-03-24T16:00:00.000Z,-0.0012312790476190476,-0.0011201793333333332,0.4,0.002556160769637326,1774342022994.0
bybit,APR/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,0.0003020342857142857,0.00015789766666666666,0.975,0.00027246703401174923,1774342023092.0
bybit,API3/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,-3.6072222222222164e-06,0.8,0.00011871864107321491,1774342023095.0
bybit,APT/USDT:USDT,-0.00019491,2026-03-24T16:00:00.000Z,-5.8862857142857146e-05,-8.000944444444445e-05,0.36666666666666664,0.00017387374834248749,1774342023086.0
bybit,APE/USDT:USDT,-5.98e-06,2026-03-24T16:00:00.000Z,-0.00017650904761904763,-0.00019385777777777778,0.24166666666666667,0.0002389659368089356,1774342023086.0
bybit,APEX/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,5.000000000000001e-05,1.0,1.3552527156068805e-20,1774342023085.0
bybit,ARC/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,5.131611111111112e-05,1.0,2.6208327476284453e-05,1774342023186.0
bybit,ARB/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-8.96380952380952e-06,4.024000000000001e-06,0.5916666666666667,9.65145962075383e-05,1774342023196.0
bybit,ARIA/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.491476190476191e-05,7.050188888888887e-05,0.925,0.00027825339024644226,1774342023397.0
bybit,ASP/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-0.00010817809523809524,-2.373399999999999e-05,0.875,0.0002329968391852249,1774342023491.0
bybit,AR/USDT:USDT,4.857e-05,2026-03-24T16:00:00.000Z,2.044857142857143e-05,1.9602444444444446e-05,0.6416666666666667,0.00011615823248901569,1774342023500.0
bybit,ARPA/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,0.00010905857142857142,-0.00013389133333333334,0.625,0.000518144680359586,1774342023492.0
bybit,ARKM/USDT:USDT,0.00099985,2026-03-24T16:00:00.000Z,8.251904761904765e-06,6.616333333333334e-06,0.6416666666666667,0.00014477927519350122,1774342023490.0
bybit,ARK/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,2.404588888888889e-05,0.9666666666666667,0.00012855722422845938,1774342023499.0
bybit,ASTER/USDT:USDT,-6.024e-05,2026-03-24T12:00:00.000Z,-1.4349047619047619e-05,-3.870333333333333e-06,0.5666666666666667,5.5907186912216396e-05,1774342023591.0
bybit,ASR/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,5.000000000000001e-05,1.0,1.3552527156068805e-20,1774342023591.0
bybit,ASTR/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,6.267285714285715e-05,5.248144444444446e-05,0.875,0.00011736457945117001,1774342023801.0
