timestamp,open_positions,gross_pnl_estimate_usd,net_pnl_estimate_usd,funding_capture_estimate_usd
2026-03-23T17:18:38.757873+00:00,0,0.0,0.0,0.0
2026-03-23T17:23:59.107116+00:00,0,0.0,0.0,0.0
2026-03-23T17:29:19.216117+00:00,0,0.0,0.0,0.0
2026-03-23T17:34:39.967327+00:00,0,0.0,0.0,0.0
2026-03-23T17:39:59.965941+00:00,0,0.0,0.0,0.0
2026-03-23T17:45:21.167162+00:00,0,0.0,0.0,0.0
2026-03-23T17:50:42.813681+00:00,0,0.0,0.0,0.0
2026-03-23T17:56:04.063819+00:00,0,0.0,0.0,0.0
2026-03-23T18:01:25.511360+00:00,0,0.0,0.0,0.0
2026-03-23T18:06:46.898695+00:00,0,0.0,0.0,0.0
2026-03-23T18:12:07.913249+00:00,0,0.0,0.0,0.0
2026-03-23T18:17:28.308027+00:00,0,0.0,0.0,0.0
2026-03-23T18:22:48.919156+00:00,0,0.0,0.0,0.0
2026-03-23T18:28:09.062865+00:00,0,0.0,0.0,0.0
2026-03-23T18:33:28.870377+00:00,0,0.0,0.0,0.0
2026-03-23T18:38:48.460321+00:00,0,0.0,0.0,0.0
2026-03-23T18:44:07.953697+00:00,0,0.0,0.0,0.0
2026-03-23T18:49:37.423654+00:00,0,0.0,0.0,0.0
2026-03-23T18:55:06.666548+00:00,0,0.0,0.0,0.0
2026-03-23T19:00:36.365742+00:00,0,0.0,0.0,0.0
2026-03-23T19:06:06.572479+00:00,0,0.0,0.0,0.0
2026-03-23T19:11:37.260430+00:00,0,0.0,0.0,0.0
2026-03-23T19:17:07.118690+00:00,0,0.0,0.0,0.0
2026-03-23T19:22:37.163402+00:00,0,0.0,0.0,0.0
2026-03-23T19:28:07.123833+00:00,0,0.0,0.0,0.0
2026-03-23T19:33:36.500409+00:00,0,0.0,0.0,0.0
2026-03-23T19:39:06.268625+00:00,0,0.0,0.0,0.0
2026-03-23T19:44:35.510222+00:00,0,0.0,0.0,0.0
2026-03-23T19:50:04.905406+00:00,0,0.0,0.0,0.0
2026-03-23T19:55:34.912738+00:00,0,0.0,0.0,0.0
2026-03-23T20:01:05.368467+00:00,0,0.0,0.0,0.0
2026-03-23T20:06:32.861580+00:00,0,0.0,0.0,0.0
2026-03-23T20:12:02.758197+00:00,0,0.0,0.0,0.0
2026-03-23T20:17:33.252112+00:00,0,0.0,0.0,0.0
2026-03-23T20:23:03.087454+00:00,0,0.0,0.0,0.0
2026-03-23T20:28:33.460507+00:00,0,0.0,0.0,0.0
2026-03-23T20:34:03.250772+00:00,0,0.0,0.0,0.0
2026-03-23T20:39:34.014807+00:00,0,0.0,0.0,0.0
2026-03-23T20:45:04.507391+00:00,0,0.0,0.0,0.0
2026-03-23T20:50:34.667957+00:00,0,0.0,0.0,0.0
2026-03-23T20:56:04.519482+00:00,0,0.0,0.0,0.0
2026-03-23T21:01:33.873316+00:00,0,0.0,0.0,0.0
2026-03-23T21:07:02.903464+00:00,0,0.0,0.0,0.0
2026-03-23T21:12:32.075272+00:00,0,0.0,0.0,0.0
2026-03-23T21:18:01.251465+00:00,0,0.0,0.0,0.0
2026-03-23T21:23:29.874744+00:00,0,0.0,0.0,0.0
2026-03-23T21:28:58.603540+00:00,0,0.0,0.0,0.0
2026-03-23T21:34:26.302753+00:00,0,0.0,0.0,0.0
2026-03-23T21:39:54.503351+00:00,0,0.0,0.0,0.0
2026-03-23T21:45:23.856902+00:00,0,0.0,0.0,0.0
2026-03-23T21:50:52.259495+00:00,0,0.0,0.0,0.0
2026-03-23T21:56:20.050604+00:00,0,0.0,0.0,0.0
2026-03-23T22:01:48.463919+00:00,0,0.0,0.0,0.0
2026-03-23T22:07:17.001002+00:00,0,0.0,0.0,0.0
2026-03-23T22:12:45.513891+00:00,0,0.0,0.0,0.0
2026-03-23T22:18:13.648857+00:00,0,0.0,0.0,0.0
2026-03-23T22:23:41.859509+00:00,0,0.0,0.0,0.0
2026-03-23T22:29:10.600448+00:00,0,0.0,0.0,0.0
2026-03-23T22:34:38.608244+00:00,0,0.0,0.0,0.0
2026-03-23T22:40:06.707413+00:00,0,0.0,0.0,0.0
2026-03-23T22:45:36.213555+00:00,0,0.0,0.0,0.0
2026-03-23T22:51:05.250181+00:00,0,0.0,0.0,0.0
2026-03-23T22:56:34.764393+00:00,0,0.0,0.0,0.0
2026-03-23T23:02:04.107202+00:00,0,0.0,0.0,0.0
2026-03-23T23:07:32.560717+00:00,0,0.0,0.0,0.0
2026-03-23T23:13:01.060643+00:00,0,0.0,0.0,0.0
2026-03-23T23:18:29.710070+00:00,0,0.0,0.0,0.0
2026-03-23T23:23:58.112076+00:00,0,0.0,0.0,0.0
2026-03-23T23:29:26.713328+00:00,0,0.0,0.0,0.0
2026-03-23T23:34:55.316122+00:00,0,0.0,0.0,0.0
2026-03-23T23:40:23.417397+00:00,0,0.0,0.0,0.0
2026-03-23T23:45:51.469405+00:00,0,0.0,0.0,0.0
2026-03-23T23:51:18.953814+00:00,0,0.0,0.0,0.0
2026-03-23T23:56:46.855515+00:00,0,0.0,0.0,0.0
2026-03-24T00:02:16.022227+00:00,0,0.0,0.0,0.0
2026-03-24T00:08:09.018587+00:00,0,0.0,0.0,0.0
2026-03-24T00:13:39.413009+00:00,0,0.0,0.0,0.0
2026-03-24T00:19:09.912081+00:00,0,0.0,0.0,0.0
2026-03-24T00:24:39.546344+00:00,0,0.0,0.0,0.0
2026-03-24T00:30:10.347567+00:00,0,0.0,0.0,0.0
2026-03-24T00:35:41.009672+00:00,0,0.0,0.0,0.0
2026-03-24T00:41:10.998710+00:00,0,0.0,0.0,0.0
2026-03-24T00:46:40.797202+00:00,0,0.0,0.0,0.0
2026-03-24T00:52:10.007109+00:00,0,0.0,0.0,0.0
2026-03-24T00:57:39.168095+00:00,0,0.0,0.0,0.0
2026-03-24T01:03:08.203210+00:00,0,0.0,0.0,0.0
2026-03-24T01:08:37.511085+00:00,0,0.0,0.0,0.0
2026-03-24T01:14:07.105258+00:00,0,0.0,0.0,0.0
2026-03-24T01:19:36.108848+00:00,0,0.0,0.0,0.0
2026-03-24T01:25:05.305471+00:00,0,0.0,0.0,0.0
2026-03-24T01:30:34.006707+00:00,0,0.0,0.0,0.0
2026-03-24T01:36:03.170910+00:00,0,0.0,0.0,0.0
2026-03-24T01:41:31.611906+00:00,0,0.0,0.0,0.0
2026-03-24T01:46:59.933034+00:00,0,0.0,0.0,0.0
2026-03-24T01:52:28.214005+00:00,0,0.0,0.0,0.0
2026-03-24T01:57:56.329174+00:00,0,0.0,0.0,0.0
2026-03-24T02:03:23.808164+00:00,0,0.0,0.0,0.0
2026-03-24T02:08:52.259405+00:00,0,0.0,0.0,0.0
2026-03-24T02:14:20.833754+00:00,0,0.0,0.0,0.0
2026-03-24T02:19:49.108271+00:00,0,0.0,0.0,0.0
